name,Longitude,Latitude
Egypt,29.86190099,26.49593311
El Salvador,-88.87164469,13.73943744
Eq. Guinea,10.34137924,1.70555135
Eritrea,38.84617011,15.36186618
Estonia,25.54248537,58.67192972
Ethiopia,39.60080098,8.62278679
Falkland Islands (Malvinas),-59.35238956,-51.74483954
Faroe Islands,-6.88095423,62.05385403
Fiji,165.4519543,-17.42858032
Finland,26.2746656,64.49884603
Fr. S. Antarctic Lands,69.22666758,-49.24895485
France,-2.76172945,42.17344011
French Polynesia,-144.9049439,-14.72227409
Gabon,11.7886287,-0.58660025
Gambia,-15.39601295,13.44965244
Georgia,43.50780252,42.16855755
Germany,10.38578051,51.10698181
Ghana,-1.21676566,7.95345644
Greece,22.95555794,39.07469623
Greenland,-41.34191127,74.71051289
Grenada,-61.68220189,12.11725044
Guam,144.7679102,13.44165626
Guatemala,-90.36482009,15.69403664
Guernsey,-2.57239064,49.46809761
Guinea,-10.94066612,10.43621593
Guinea-Bissau,-14.94972445,12.04744948
Guyana,-58.98202459,4.79378034
Haiti,-72.68527509,18.93502563
Heard I. and McDonald Is.,73.5205171,-53.08724656
Honduras,-86.6151661,14.82688165
Hungary,19.39559116,47.16277506
Iceland,-18.57396167,64.99575386
India,79.6119761,22.88578212
Indian Ocean Ter.,104.851898,-10.6478515
Indonesia,117.2401137,-2.21505456
Iran (Islamic Republic of),54.27407004,32.57503292
Iraq,43.74353149,33.03970582
Ireland,-8.13793569,53.1754487
Isle of Man,-4.53873952,54.22418911
Israel,35.00444693,31.46110101
Italy,12.07001339,42.79662641
Jamaica,-77.31482593,18.15694878
Japan,138.0308956,37.59230135
Jersey,-2.12689938,49.21837377
Jordan,36.77136104,31.24579091
Kazakhstan,67.29149357,48.15688067
Kenya,37.79593973,0.59988022
Kiribati,-45.61110513,0.86001503
Kosovo,20.87249811,42.57078707
Kuwait,47.58700459,29.33431262
Kyrgyzstan,74.54165513,41.46221943
Lao People's Democratic Republic,103.7377241,18.50217433
Latvia,24.91235983,56.85085163
Lebanon,35.88016072,33.92306631
Lesotho,28.22723131,-29.58003188
Liberia,-9.32207573,6.45278492
Libya,18.00866169,27.03094495
Liechtenstein,9.53574312,47.13665835
Lithuania,23.88719355,55.32610984
Luxembourg,6.07182201,49.76725361
Macedonia,21.68211346,41.59530893
Madagascar,46.70473674,-19.37189587
Malawi,34.28935599,-13.21808088
Malaysia,109.6976228,3.78986846
Maldives,73.45713004,3.7287092
Mali,-3.54269065,17.34581581
Malta,14.40523316,35.92149632
Marshall Islands,170.3397612,7.00376358
Mauritania,-10.34779815,20.25736706
Mauritius,57.57120551,-20.27768704
Mexico,-102.5234517,23.94753724
Micronesia (Fed. States of),153.2394379,7.45246814
Moldova,28.45673372,47.19498804
Monaco,7.40627677,43.75274627
Mongolia,103.0529977,46.82681544
Montenegro,19.23883939,42.78890259
Montserrat,-62.18518546,16.73941406
Morocco,-8.45615795,29.83762955
Mozambique,35.53367543,-17.27381643
Myanmar,96.48843321,21.18566599
N. Cyprus,33.5684813,35.26277486
Namibia,17.20963567,-22.13032568
Nauru,166.9325682,-0.51912639
Nepal,83.9158264,28.24891365
Netherlands,5.28144793,52.1007899
New Caledonia,165.6849237,-21.29991806
New Zealand,171.4849235,-41.81113557
Nicaragua,-85.0305297,12.84709429
Niger,9.38545882,17.41912493
Nigeria,8.08943895,9.59411452
Niue,-169.8699468,-19.04945708
Norfolk Island,167.9492168,-29.0514609
Northern Mariana Islands,145.6196965,15.82927563
Norway,15.34834656,68.75015572
Oman,56.09166155,20.60515333
Pakistan,69.33957937,29.9497515
Palau,134.4080797,7.28742784
Palestine,35.19628705,31.91613893
Panama,-80.11915156,8.51750797
Papua New Guinea,145.2074475,-6.46416646
Paraguay,-58.40013703,-23.22823913
Peru,-74.38242685,-9.15280381
Philippines,122.8839325,11.77536778
Pitcairn Is.,-128.317042,-24.36500535
Poland,19.39012835,52.12759564
Portugal,-8.50104361,39.59550671
Puerto Rico,-66.47307604,18.22813055
Qatar,51.18479632,25.30601188
Republic of Korea,127.8391609,36.38523983
Romania,24.97293039,45.85243127
Russia,96.68656112,61.98052209
Rwanda,29.91988515,-1.99033832
S. Geo. and S. Sandw. Is.,-36.43318388,-54.46488248
Saint Barthélemy,-62.84067779,17.89880451
Saint Helena,-9.54779416,-12.40355951
Saint Kitts and Nevis,-62.68755265,17.2645995
Saint Lucia,-60.96969923,13.89479481
Saint Martin (French part),-63.05972851,18.08888611
Saint Pierre and Miquelon,-56.30319779,46.91918789
Saint Vincent and the Grenadines,-61.20129695,13.22472269
Samoa,-170.7180258,-14.30445997
Samoa,-172.1648506,-13.75324346
San Marino,12.45922334,43.94186747
Sao Tome and Principe,6.72429658,0.44391445
Saudi Arabia,44.53686271,24.12245841
Senegal,-14.4734924,14.36624173
Serbia,20.78958334,44.2215032
Seychelles,55.47603279,-4.66099094
Siachen Glacier,77.18011865,35.39236325
Sierra Leone,-11.79271247,8.56329593
Singapore,103.8172559,1.35876087
Slovakia,19.47905218,48.70547528
Slovenia,14.80444238,46.11554772
Solomon Islands,159.6328767,-8.92178022
Somalia,45.70714487,4.75062876
Somaliland,46.25198395,9.73345496
South Africa,25.08390093,-29.00034095
South Sudan,30.24790002,7.30877945
Spain,-3.64755047,40.24448698
Sri Lanka,80.70108238,7.61266509
Sudan,29.94046812,15.99035669
Suriname,-55.9123457,4.13055413
Swaziland,31.4819369,-26.55843045
Sweden,16.74558049,62.77966519
Switzerland,8.20867471,46.79785878
Syrian Arab Republic,38.50788204,35.02547389
"China, Taiwan Province of China",120.9542728,23.7539928
Tajikistan,71.01362631,38.5304539
Tanzania,34.81309981,-6.27565408
Thailand,101.0028813,15.11815794
Timor-Leste,125.8443898,-8.82889162
Togo,0.96232845,8.52531356
Tonga,-174.8098734,-20.42843174
Trinidad and Tobago,-61.26567923,10.45733408
Tunisia,9.55288359,34.11956246
Turkey,35.16895346,39.0616029
Turkmenistan,59.37100021,39.11554137
Turks and Caicos Islands,-71.97387881,21.83047572
Uganda,32.36907971,1.27469299
Ukraine,31.38326469,48.99656673
United Arab Emirates,54.3001671,23.90528188
United Kingdom,-2.86563164,54.12387156
United States of America,-112.4616737,45.6795472
United States Virgin Islands,-64.80301538,17.95500624
Uruguay,-56.01807053,-32.79951534
Uzbekistan,63.14001528,41.75554225
Vanuatu,167.6864464,-16.22640909
Vatican City,12.43387177,41.90174985
Venezuela (Bolivarian Republic of),-66.18184123,7.12422421
Viet Nam,106.299147,16.6460167
Wallis and Futuna Islands,-177.3483483,-13.88737039
Western Sahara,-12.21982755,24.22956739
Yemen,47.58676189,15.90928005
Zambia,27.77475946,-13.45824152
Zimbabwe,29.8514412,-19.00420419
