Pandemic,Country,Year,Cases,Deaths,Lon,Lat,population
Swineflu-W,British Virgin Islands,2009,25,0,-64.47146992,18.52585755,27035000.0
Swineflu-W,Montserrat,2009,21,0,-62.18518546,16.73941406,4891000.0
Swineflu-W,Congo,2009,21,0,15.21965762,-0.83787463,4145399999.9999995
Swineflu-W,Grenada,2009,20,0,-61.68220189,12.11725044,105787000.0
Swineflu-W,Ethiopia,2009,19,0,39.60080098,8.62278679,85233923000.00002
Swineflu-W,Kazakhstan,2009,17,0,67.29149357,48.15688067,16043015000.0
Swineflu-W,Tajikistan,2009,16,0,71.01362631,38.5304539,7364751999.999999
Swineflu-W,Mauritania,2009,15,0,-10.34779815,20.25736706,3393408000.0
Swineflu-W,Anguilla,2009,14,0,-63.06498927,18.2239595,13248000.0
Swineflu-W,Azerbaijan,2009,14,0,47.54599879,40.28827235,8924383000.0
Swineflu-W,Papua New Guinea,2009,12,0,145.20744752,-6.46416646,7144774000.0
Swineflu-W,Djibouti,2009,9,0,42.560675399999994,11.74871806,827820000.0
Swineflu-W,Nauru,2009,8,0,166.93256823,-0.51912639,9945000.0
Swineflu-W,Burundi,2009,7,0,29.87512156,-3.35939666,8397661000.0
Swineflu-W,Timor-Leste,2009,7,0,125.84438982,-8.82889162,1074286000.0
Swineflu-W,Liechtenstein,2009,5,0,9.53574312,47.13665835,35723000.0
Swineflu-W,San Marino,2009,5,0,12.45922334,43.94186747,30825000.0
Swineflu-W,Cameroon,2009,4,0,12.73964156,5.69109849,19789922000.0
Swineflu-W,Gabon,2009,4,0,11.7886287,-0.58660025,1568925000.0
Swineflu-W,Kiribati,2009,4,0,-45.61110513,0.86001503,100928000.0
Swineflu-W,Guinea,2009,3,0,-10.94066612,10.43621593,9964470000.0
Swineflu-W,Vanuatu,2009,3,0,167.68644636,-16.22640909,230244000.00000003
Swineflu-W,Somalia,2009,2,0,45.70714487,4.75062876,11717691000.0
Swineflu-W,Andorra,2009,1,0,1.56054378,42.54229102,84461000.0
Swineflu-W,Chad,2009,1,0,18.64492513,15.33333758,11560142000.0
Swineflu-W,Greenland,2009,1,0,-41.34191127,74.71051289,56729000.0
