,Country,Cases,Deaths,Date,Lon,Lat,population,Year,Pandemic
69,Honduras,139,7,1585526400000.0,-86.6151661,14.82688165,9270794.0,2020,Covid19
70,Hong Kong,682,4,1585526400000.0,114.11380454,22.39827737,1000.0,2020,Covid19
71,Hungary,447,15,1585526400000.0,19.39559116,47.16277506,9752970.0,2020,Covid19
72,Iceland,1086,2,1585526400000.0,-18.57396167,64.99575386,332209.0,2020,Covid19
73,India,1251,32,1585526400000.0,79.6119761,22.88578212,1324517250.0,2020,Covid19
74,Indonesia,1414,122,1585526400000.0,117.24011366,-2.21505456,261556386.00000003,2020,Covid19
75,Iran,41495,2757,1585526400000.0,54.27407004,32.57503292,1000.0,2020,Covid19
76,Iraq,630,46,1585526400000.0,43.74353149,33.03970582,36610632.00000001,2020,Covid19
77,Ireland,2910,54,1585526400000.0,-8.13793569,53.1754487,4695790.0,2020,Covid19
78,Israel,4811,17,1585526400000.0,35.00444693,31.46110101,8108984.0,2020,Covid19
79,Italy,101739,11591,1585526400000.0,12.07001339,42.79662641,60663068.0,2020,Covid19
80,Jamaica,36,1,1585526400000.0,-77.31482593,18.15694878,2906242.0,2020,Covid19
81,Japan,1866,54,1585526400000.0,138.03089558,37.59230135,127763267.0,2020,Covid19
82,Jordan,268,5,1585526400000.0,36.77136104,31.24579091,9554286.0,2020,Covid19
83,Kazakhstan,302,1,1585526400000.0,67.29149357,48.15688067,17830902.0,2020,Covid19
84,Kenya,50,1,1585526400000.0,37.79593973,0.59988022,49051530.99999999,2020,Covid19
85,Korea,9661,158,1585526400000.0,127.83916086,36.38523983,1000.0,2020,Covid19
86,Kosovo,94,1,1585526400000.0,20.87249811,42.57078707,1000.0,2020,Covid19
87,Kuwait,266,0,1585526400000.0,47.58700459,29.33431262,3956862.0,2020,Covid19
88,Kyrgyzstan,94,0,1585526400000.0,74.54165513,41.46221943,6074326.999999999,2020,Covid19
89,Lao PDR,8,0,1585526400000.0,103.73772412,18.50217433,1000.0,2020,Covid19
90,Latvia,376,0,1585526400000.0,24.91235983,56.85085163,1974265.0,2020,Covid19
91,Lebanon,446,11,1585526400000.0,35.88016072,33.92306631,6714281.0,2020,Covid19
92,Liberia,3,0,1585526400000.0,-9.32207573,6.45278492,4586788.0,2020,Covid19
93,Libya,8,0,1585526400000.0,18.00866169,27.03094495,6492160.0,2020,Covid19
94,Liechtenstein,62,0,1585526400000.0,9.53574312,47.13665835,37655.0,2020,Covid19
95,Lithuania,491,7,1585526400000.0,23.88719355,55.32610984,2889555.0,2020,Covid19
96,Luxembourg,1988,22,1585526400000.0,6.07182201,49.76725361,579266.0,2020,Covid19
97,Macao,38,0,1585526400000.0,113.50932116,22.22311688,1000.0,2020,Covid19
98,Macedonia,285,7,1585526400000.0,21.68211346,41.59530893,1000.0,2020,Covid19
99,Madagascar,43,0,1585526400000.0,46.70473674,-19.37189587,24894370.0,2020,Covid19
100,Malaysia,2626,37,1585526400000.0,109.69762284,3.78986846,30684652.0,2020,Covid19
101,Maldives,17,0,1585526400000.0,73.45713004,3.7287092,475505.0,2020,Covid19
102,Mali,25,2,1585526400000.0,-3.54269065,17.34581581,17965448.0,2020,Covid19
103,Malta,156,0,1585526400000.0,14.40523316,35.92149632,436099.0,2020,Covid19
104,Mauritania,5,1,1585526400000.0,-10.34779815,20.25736706,4163532.0,2020,Covid19
105,Mauritius,128,3,1585526400000.0,57.57120551,-20.27768704,1261870.0,2020,Covid19
106,Mexico,993,20,1585526400000.0,-102.52345169,23.94753724,123333379.0,2020,Covid19
107,Moldova,298,2,1585526400000.0,28.45673372,47.19498804,1000.0,2020,Covid19
108,Monaco,49,1,1585526400000.0,7.40627677,43.75274627,38070.0,2020,Covid19
109,Mongolia,12,0,1585526400000.0,103.05299765,46.82681544,3056357.9999999995,2020,Covid19
110,Montenegro,91,1,1585526400000.0,19.23883939,42.78890259,627271.0,2020,Covid19
111,Morocco,556,33,1585526400000.0,-8.45615795,29.83762955,35126274.0,2020,Covid19
112,Mozambique,8,0,1585526400000.0,35.53367543,-17.27381643,27829930.0,2020,Covid19
113,Myanmar,14,0,1585526400000.0,96.48843321,21.18566599,53045199.0,2020,Covid19
114,Namibia,11,0,1585526400000.0,17.20963567,-22.13032568,2358044.0,2020,Covid19
115,Nepal,5,0,1585526400000.0,83.9158264,28.24891365,27263430.0,2020,Covid19
116,Netherlands,11817,865,1585526400000.0,5.28144793,52.1007899,16981285.0,2020,Covid19
117,New Zealand,589,1,1585526400000.0,171.48492347,-41.81113557,4659265.0,2020,Covid19
118,Nicaragua,4,1,1585526400000.0,-85.0305297,12.84709429,6303970.0,2020,Covid19
119,Niger,27,3,1585526400000.0,9.38545882,17.41912493,20788789.0,2020,Covid19
120,Nigeria,131,2,1585526400000.0,8.08943895,9.59411452,185960243.99999997,2020,Covid19
121,Norway,4445,32,1585526400000.0,15.34834656,68.75015572,5250950.0,2020,Covid19
122,Oman,179,0,1585526400000.0,56.09166155,20.60515333,4479217.000000001,2020,Covid19
123,Pakistan,1717,21,1585526400000.0,69.33957937,29.9497515,203631356.00000003,2020,Covid19
124,Panama,989,24,1585526400000.0,-80.11915156,8.51750797,4037073.0,2020,Covid19
125,Papua New Guinea,1,0,1585526400000.0,145.20744752,-6.46416646,8271766.0,2020,Covid19
126,Paraguay,64,3,1585526400000.0,-58.40013703,-23.22823913,6777878.000000001,2020,Covid19
127,Peru,950,24,1585526400000.0,-74.38242685,-9.15280381,30926036.0,2020,Covid19
128,Philippines,1546,78,1585526400000.0,122.88393253,11.77536778,103663811.99999999,2020,Covid19
129,Poland,2055,31,1585526400000.0,19.39012835,52.12759564,37989218.0,2020,Covid19
130,Portugal,6408,140,1585526400000.0,-8.50104361,39.59550671,10325540.0,2020,Covid19
131,Qatar,693,1,1585526400000.0,51.18479632,25.30601188,2654379.0000000005,2020,Covid19
132,Romania,2109,65,1585526400000.0,24.97293039,45.85243127,19796280.0,2020,Covid19
133,Russia,1836,9,1585526400000.0,96.68656112,61.98052209,1000.0,2020,Covid19
134,Rwanda,70,0,1585526400000.0,29.91988515,-1.99033832,11668829.0,2020,Covid19
135,Saint Lucia,9,0,1585526400000.0,-60.96969923,13.89479481,180028.0,2020,Covid19
136,San Marino,230,25,1585526400000.0,12.45922334,43.94186747,33503.0,2020,Covid19
137,Saudi Arabia,1453,8,1585526400000.0,44.53686271,24.12245841,32443443.0,2020,Covid19
138,Senegal,162,0,1585526400000.0,-14.4734924,14.36624173,14993514.0,2020,Covid19
139,Serbia,785,16,1585526400000.0,20.78958334,44.2215032,8853963.0,2020,Covid19
140,Seychelles,8,0,1585526400000.0,55.47603279,-4.66099094,95711.0,2020,Covid19
141,Singapore,879,3,1585526400000.0,103.81725592,1.35876087,5653625.0,2020,Covid19
142,Slovakia,336,0,1585526400000.0,19.47905218,48.70547528,5442001.0,2020,Covid19
143,Slovenia,756,11,1585526400000.0,14.80444238,46.11554772,2074205.0,2020,Covid19
144,Somalia,3,0,1585526400000.0,45.70714487,4.75062876,14185635.0,2020,Covid19
145,South Africa,1326,3,1585526400000.0,25.08390093,-29.00034095,56207649.00000001,2020,Covid19
146,Spain,87956,7716,1585526400000.0,-3.64755047,40.24448698,46634130.99999999,2020,Covid19
147,Sri Lanka,122,2,1585526400000.0,80.70108238,7.61266509,21021177.000000004,2020,Covid19
148,St. Kitts and Nevis,7,0,1585526400000.0,-62.68755265,17.2645995,1000.0,2020,Covid19
149,St. Vin. and Gren.,1,0,1585526400000.0,-61.20129695,13.22472269,1000.0,2020,Covid19
150,Sudan,6,2,1585526400000.0,29.94046812,15.99035669,39847433.0,2020,Covid19
151,Suriname,8,0,1585526400000.0,-55.9123457,4.13055413,564883.0,2020,Covid19
152,Swaziland,9,0,1585526400000.0,31.4819369,-26.55843045,1000.0,2020,Covid19
153,Sweden,4028,146,1585526400000.0,16.74558049,62.77966519,9836003.0,2020,Covid19
154,Switzerland,15922,359,1585526400000.0,8.20867471,46.79785878,8379915.000000001,2020,Covid19
155,Syria,10,2,1585526400000.0,38.50788204,35.02547389,1000.0,2020,Covid19
156,Taiwan,306,5,1585526400000.0,120.95427281,23.7539928,1000.0,2020,Covid19
157,Tanzania,19,0,1585526400000.0,34.81309981,-6.27565408,1000.0,2020,Covid19
158,Thailand,1524,9,1585526400000.0,101.0028813,15.11815794,68971313.0,2020,Covid19
159,Timor-Leste,1,0,1585526400000.0,125.84438982,-8.82889162,1219289.0,2020,Covid19
160,Togo,30,1,1585526400000.0,0.96232845,8.52531356,7509951.999999999,2020,Covid19
161,Trinidad and Tobago,82,3,1585526400000.0,-61.26567923,10.45733408,1377562.9999999998,2020,Covid19
162,Tunisia,312,8,1585526400000.0,9.55288359,34.11956246,11303942.0,2020,Covid19
163,Turkey,10827,168,1585526400000.0,35.16895346,39.0616029,79827868.0,2020,Covid19
164,Uganda,33,0,1585526400000.0,32.36907971,1.27469299,39649172.99999999,2020,Covid19
165,Ukraine,548,13,1585526400000.0,31.38326469,48.99656673,44713708.0,2020,Covid19
166,United Arab Emirates,611,5,1585526400000.0,54.3001671,23.90528188,9360975.0,2020,Covid19
167,United Kingdom,22453,1411,1585526400000.0,-2.86563164,54.12387156,66297944.0,2020,Covid19
168,United States,161807,2978,1585526400000.0,-112.4616737,45.6795472,1000.0,2020,Covid19
169,Uruguay,310,1,1585526400000.0,-56.01807053,-32.79951534,3424139.0,2020,Covid19
170,Uzbekistan,149,2,1585526400000.0,63.14001528,41.75554225,31441752.999999996,2020,Covid19
171,Vatican,6,0,1585526400000.0,12.43387177,41.90174985,1000.0,2020,Covid19
172,Venezuela,135,3,1585526400000.0,-66.18184123,7.12422421,1000.0,2020,Covid19
173,Vietnam,203,0,1585526400000.0,106.29914698,16.6460167,1000.0,2020,Covid19
174,Zambia,35,0,1585526400000.0,27.77475946,-13.45824152,16363448.999999998,2020,Covid19
175,Zimbabwe,7,1,1585526400000.0,29.8514412,-19.00420419,14030338.0,2020,Covid19
176,Guinea,2397,1433,,-10.94066612,10.43621593,11150970000000.0,2014,Ebola
177,Guinea,3351,2083,,-10.94066612,10.43621593,11432096.000000002,2015,Ebola
178,Guinea,3351,2083,,-10.94066612,10.43621593,11738.434,2016,Ebola
179,Italy,1,0,,12.07001339,42.79662641,60578489.0,2015,Ebola
180,Italy,1,0,,12.07001339,42.79662641,60663.068,2016,Ebola
181,Liberia,3110,1241,,-9.32207573,6.45278492,4359508000000.0,2014,Ebola
182,Liberia,3153,3858,,-9.32207573,6.45278492,4472229.0,2015,Ebola
183,Liberia,3151,3,,-9.32207573,6.45278492,4586.788,2016,Ebola
184,Mali,7,5,,-3.54269065,17.34581581,16934213000000.0,2014,Ebola
185,Mali,7,0,,-3.54269065,17.34581581,17438772.0,2015,Ebola
186,Mali,7,0,,-3.54269065,17.34581581,17965.448,2016,Ebola
187,Nigeria,19,7,,8.08943895,9.59411452,176404931000000.0,2014,Ebola
188,Nigeria,19,7,,8.08943895,9.59411452,181137454.0,2015,Ebola
189,Nigeria,19,7,,8.08943895,9.59411452,185960.244,2016,Ebola
190,Senegal,1,0,,-14.4734924,14.36624173,14174740000000.0,2014,Ebola
191,Senegal,1,0,,-14.4734924,14.36624173,14578450.0,2015,Ebola
192,Senegal,1,0,,-14.4734924,14.36624173,14993.514,2016,Ebola
193,Sierra Leone,7354,2392,,-11.79271247,8.56329593,7017153000000.0,2014,Ebola
194,Sierra Leone,8704,3589,,-11.79271247,8.56329593,7171909.000000001,2015,Ebola
195,Sierra Leone,8704,3589,,-11.79271247,8.56329593,7328.846,2016,Ebola
196,Spain,1,0,,-3.64755047,40.24448698,46777927000000.0,2014,Ebola
197,Spain,1,0,,-3.64755047,40.24448698,46671919.0,2015,Ebola
198,Spain,1,0,,-3.64755047,40.24448698,46634.131,2016,Ebola
199,United Kingdom,1,0,,-2.86563164,54.12387156,65860149.00000001,2015,Ebola
200,United Kingdom,1,0,,-2.86563164,54.12387156,66297.944,2016,Ebola
201,United States of America,4,1,,-112.4616737,45.6795472,318673422000000.0,2014,Ebola
202,United States of America,4,1,,-112.4616737,45.6795472,320878312.0,2015,Ebola
203,United States of America,4,1,,-112.4616737,45.6795472,323015.992,2016,Ebola
204,United States of America,113690,3433,,-112.4616737,45.6795472,306307565000.0,2009,Swineflu-W
205,Brazil,58178,2135,,-53.09783113,-10.78777702,193886505000.0,2009,Swineflu-W
206,India,33783,2024,,79.61197609999998,22.88578212,1217726217000.0,2009,Swineflu-W
207,Mexico,70715,1316,,-102.52345169,23.94753724,112463886000.0,2009,Swineflu-W
208,China,120940,800,,103.81907349,36.56176546,1361169410000.0,2009,Swineflu-W
209,Turkey,12316,656,,35.16895346,39.0616029,71321406000.0,2009,Swineflu-W
210,Argentina,11458,626,,-65.17980692,-35.3813488,40482786000.0,2009,Swineflu-W
211,Russian Federation,25339,604,,96.68656112,61.98052209,143326904000.0,2009,Swineflu-W
212,United Kingdom,28456,0,,-2.86563164,54.12387156,62828620000.0,2009,Swineflu-W
213,Canada,25828,429,,-98.30777028,61.36206324,33746093000.0,2009,Swineflu-W
214,France,1980000,344,,-2.76172945,42.17344011,62542883000.0,2009,Swineflu-W
215,Spain,1538,300,,-3.64755047,40.24448698,46583566000.0,2009,Swineflu-W
216,Egypt,15812,278,,29.86190099,26.49593311,81134789000.0,2009,Swineflu-W
217,Germany,222360,258,,10.38578051,51.10698181,80899961000.0,2009,Swineflu-W
218,Republic of Korea,107939,250,,127.83916086,36.38523983,49347450000.0,2009,Swineflu-W
219,Thailand,31902,249,,101.0028813,15.11815794,66866834000.0,2009,Swineflu-W
220,Italy,3064933,244,,12.07001339,42.79662641,59105622000.0,2009,Swineflu-W
221,Colombia,4310,272,,-73.08114582,3.91383431,44750054000.0,2009,Swineflu-W
222,Peru,9165,223,,-74.38242685,-9.15280381,28792663000.0,2009,Swineflu-W
223,Ukraine,494,213,,31.38326469,48.99656673,45970942000.0,2009,Swineflu-W
224,Ecuador,2251,200,,-78.75201922,-1.42381612,14774412000.0,2009,Swineflu-W
225,Japan,11636,198,,138.03089558,37.59230135,128555196000.0,2009,Swineflu-W
226,Australia,37484,187,,134.49100008,-25.73288704,21750852000.000004,2009,Swineflu-W
227,Poland,2024,181,,19.39012835,52.12759564,38351924000.0,2009,Swineflu-W
228,Chile,12258,156,,-71.38256213,-37.73070989,16886183999.999996,2009,Swineflu-W
229,Syrian Arab Republic,452,152,,38.50788204,35.02547389,21205873000.0,2009,Swineflu-W
230,Greece,17977,149,,22.95555794,39.07469623,10959268000.0,2009,Swineflu-W
231,Iran (Islamic Republic of),3672,147,,54.27407004,32.57503292,72924833000.0,2009,Swineflu-W
232,Venezuela (Bolivarian Republic of),2187,135,,-66.18184123,7.12422421,28031010000.0,2009,Swineflu-W
233,Hungary,283,134,,19.39559116,47.16277506,9959439000.0,2009,Swineflu-W
234,Saudi Arabia,14500,128,,44.53686271,24.12245841,26630303000.0,2009,Swineflu-W
235,Portugal,166922,122,,-8.50104361,39.59550671,10604066000.0,2009,Swineflu-W
236,Romania,7006,122,,24.97293039,45.85243127,20637995000.0,2009,Swineflu-W
237,Czechia,2445,102,,15.31240163,49.73341233,10488155000.0,2009,Swineflu-W
238,Israel,4330,94,,35.00444693,31.46110101,7190036999.999998,2009,Swineflu-W
239,South Africa,12640,93,,25.08390093,-29.00034095,50477013000.0,2009,Swineflu-W
240,Malaysia,12210,92,,109.69762284,3.78986846,27735038000.0,2009,Swineflu-W
241,Belarus,102,88,,28.03209307,53.53131377,9433159000.0,2009,Swineflu-W
242,Serbia,695,83,,20.78958334,44.2215032,9023354000.0,2009,Swineflu-W
243,Cuba,973,69,,-79.01605384,21.62289528,11226711000.000002,2009,Swineflu-W
244,Costa Rica,1867,67,,-84.19208768,9.97634464,4520739000.000001,2009,Swineflu-W
245,Morocco,2890,64,,-8.45615795,29.83762955,31929087000.000008,2009,Swineflu-W
246,Netherlands,1473,62,,5.28144793,52.1007899,16626379000.0,2009,Swineflu-W
247,Bolivia (Plurinational State of),2310,59,,-64.68538645,-16.70814787,9884790000.0,2009,Swineflu-W
248,Viet Nam,11186,58,,106.29914698,16.646016699999997,87092250000.0,2009,Swineflu-W
249,Algeria,916,57,,2.61732301,28.15893849,35333882000.000015,2009,Swineflu-W
250,Finland,6122,56,,26.2746656,64.49884603,5342266000.0,2009,Swineflu-W
251,Slovakia,955,56,,19.47905218,48.70547528,5401149000.0,2009,Swineflu-W
252,Paraguay,855,54,,-58.40013703,-23.22823913,6163970000.0,2009,Swineflu-W
253,New Zealand,3199,50,,171.48492347,-41.81113557,4323338000.0,2009,Swineflu-W
254,"China, Taiwan Province of China",5474,48,,120.95427281,23.7539928,23104542000.0,2009,Swineflu-W
255,Sri Lanka,642,48,,80.70108238,7.61266509,20123508000.0,2009,Swineflu-W
256,Iraq,2880,42,,43.74353149,33.03970582,28973157000.000008,2009,Swineflu-W
257,Austria,964,40,,14.1264761,47.58549439,8372658000.000002,2009,Swineflu-W
258,Bulgaria,766,40,,25.21552909,42.76890318,7473509000.0,2009,Swineflu-W
259,Latvia,1253,34,,24.91235983,56.85085163,2144784000.0,2009,Swineflu-W
260,Oman,6349,33,,56.09166155,20.60515333,2876185999.9999995,2009,Swineflu-W
261,Georgia,1300,33,,43.50780252,42.16855755,4119490000.0,2009,Swineflu-W
262,El Salvador,834,33,,-88.87164469,13.73943744,6157678000.000001,2009,Swineflu-W
263,Denmark,651,33,,10.02800992,55.98125296,5526389000.0,2009,Swineflu-W
264,Uruguay,550,33,,-56.01807053,-32.79951534,3349676000.0,2009,Swineflu-W
265,Philippines,5212,32,,122.88393253,11.77536778,92414161000.0,2009,Swineflu-W
266,Yemen,5038,31,,47.58676189,15.90928005,22516464000.0,2009,Swineflu-W
267,Kuwait,8669,30,,47.58700459,29.33431262,2821040999.9999995,2009,Swineflu-W
268,Mongolia,1259,30,,103.05299765,46.82681544,2673794000.0000005,2009,Swineflu-W
269,Norway,12654,29,,15.34834656,68.75015572,4826847000.0,2009,Swineflu-W
270,Sweden,10985,29,,16.74558049,62.77966519,9313085000.0,2009,Swineflu-W
271,Ireland,3189,26,,-8.13793569,53.17544870000001,4494572000.0,2009,Swineflu-W
272,Croatia,50255,26,,16.40412899,45.08047631,4341260999.999999,2009,Swineflu-W
273,Pakistan,253,25,,69.33957937,29.9497515,175525610000.0,2009,Swineflu-W
274,Tunisia,1200,24,,9.55288359,34.11956246,10525691000.0,2009,Swineflu-W
275,Dominican Republic,491,23,,-70.50568896,18.89433082,9576735999.999998,2009,Swineflu-W
276,Lithuania,68,23,,23.88719355,55.32610984,3167270000.0,2009,Swineflu-W
277,Singapore,1217,21,,103.81725592,1.35876087,4966614000.000001,2009,Swineflu-W
278,Estonia,738,21,,25.54248537,58.67192972,1336140000.0,2009,Swineflu-W
279,Belgium,76973,19,,4.64065114,50.63981576,10859934000.0,2009,Swineflu-W
280,Jordan,3033,19,,36.77136104,31.24579091,6893258000.000001,2009,Swineflu-W
281,Slovenia,990,19,,14.80444238,46.11554772,2033807000.0,2009,Swineflu-W
282,Switzerland,11221,18,,8.20867471,46.79785878,7713901999.999998,2009,Swineflu-W
283,Honduras,560,18,,-86.6151661,14.82688165,8150780000.0,2009,Swineflu-W
284,Afghanistan,853,17,,66.00473366,33.83523073,28394806000.0,2009,Swineflu-W
285,Bosnia and Herzegovina,714,13,,17.76876733,44.17450125,3735945000.0,2009,Swineflu-W
286,Panama,813,12,,-80.11915156,8.51750797,3579215000.0,2009,Swineflu-W
287,Albania,426,12,,20.04983396,41.14244989,2973044000.0000005,2009,Swineflu-W
288,Nicaragua,2172,11,,-85.0305297,12.84709429,5745538000.0,2009,Swineflu-W
289,Indonesia,1098,10,,117.24011366,-2.21505456,238620554000.0,2009,Swineflu-W
290,Qatar,550,10,,51.18479632,25.30601188,1654944000.0,2009,Swineflu-W
291,Cyprus,297,10,,33.0060022,34.91667211,1098089000.0,2009,Swineflu-W
292,Dem. People's Republic of Korea,28,10,,127.19247973,40.15350311,24428340000.0,2009,Swineflu-W
293,Bahrain,1325,8,,50.54196932,26.04205135,1185075000.0,2009,Swineflu-W
294,Mauritius,69,8,,57.57120551,-20.27768704,1243996000.0,2009,Swineflu-W
295,Bangladesh,1015,7,,90.23812743,23.86731158,145924795000.0,2009,Swineflu-W
296,Jamaica,191,7,,-77.31482593,18.15694878,2795839000.0000005,2009,Swineflu-W
297,Montenegro,119,7,,19.23883939,42.78890259,622933000.0,2009,Swineflu-W
298,Cambodia,531,6,,104.90694325,12.72004786,14093605000.0,2009,Swineflu-W
299,United Arab Emirates,125,6,,54.3001671,23.90528188,7917368000.0,2009,Swineflu-W
300,Lebanon,1838,5,,35.88016072,33.92306631,4813026000.0,2009,Swineflu-W
301,Malta,718,5,,14.40523316,35.92149632,411559000.0,2009,Swineflu-W
302,Trinidad and Tobago,211,5,,-61.26567923,10.45733408,1320921000.0,2009,Swineflu-W
303,Sudan,145,5,,29.94046812,15.99035669,33783779000.0,2009,Swineflu-W
304,Bahamas,29,4,,-76.62843038,24.29036702,349600000.0,2009,Swineflu-W
305,Madagascar,877,3,,46.70473674,-19.37189587,20569115000.0,2009,Swineflu-W
306,Ghana,676,3,,-1.21676566,7.95345644,24170943000.0,2009,Swineflu-W
307,Luxembourg,333,3,,6.07182201,49.76725361,496536000.0,2009,Swineflu-W
