Pandemic,Country,Year,Cases,Deaths,lon,lat
covid19,Democratic Republic of the Congo,2020,183,5,23.64396107,-2.87746289
covid19,Denmark,2020,15905,111,10.02800992,55.98125296
covid19,Djibouti,2020,11,0,42.560675399999994,11.74871806
covid19,Dominica,2020,5,0,-61.357726,15.439470199999999
covid19,Dominican Republic,2020,1091,20,-70.50568896,18.89433082
covid19,Ecuador,2020,4349,84,-78.75201922,-1.42381612
covid19,Egypt,2020,3118,100,29.86190099,26.49593311
covid19,El Salvador,2020,16,0,-88.87164469,13.73943744
covid19,Equatorial Guinea,2020,49,0,,
covid19,Eritrea,2020,4,0,38.84617011,15.36186618
covid19,Estonia,2020,3052,0,25.54248537,58.67192972
covid19,Eswatini,2020,20,0,,
covid19,Ethiopia,2020,77,0,39.60080098,8.62278679
covid19,Faroe Islands,2020,10,0,-6.88095423,62.05385403
covid19,Fiji,2020,12,0,165.4519543,-17.42858032
covid19,Finland,2020,5363,4,26.274665600000002,64.49884603
covid19,France,2020,144802,4825,-2.76172945,42.17344011
covid19,French Guiana,2020,117,0,,
covid19,Gabon,2020,29,5,11.7886287,-0.58660025
covid19,Gambia,2020,11,2,-15.39601295,13.44965244
covid19,Georgia,2020,629,0,43.50780252,42.16855755
covid19,Germany,2020,198142,675,10.38578051,51.10698181
covid19,Ghana,2020,178,6,-1.21676566,7.95345644
covid19,Gibraltar,2020,7,0,,
covid19,Greece,2020,5987,101,22.95555794,39.07469623
covid19,Greenland,2020,3,0,-41.34191127,74.71051289
covid19,Grenada,2020,3,0,-61.68220189,12.11725044
covid19,Guadeloupe,2020,187,0,,
covid19,Guam,2020,6,0,144.7679102,13.44165626
covid19,Guatemala,2020,114,9,-90.36482009,15.69403664
covid19,Guernsey,2020,3,0,-2.57239064,49.46809761
covid19,Guinea,2020,20,0,-10.94066612,10.43621593
covid19,Guyana,2020,89,13,-58.98202459,4.79378034
covid19,Haiti,2020,19,0,-72.68527509,18.93502563
covid19,Holy See,2020,18,0,,
covid19,Honduras,2020,177,0,-86.6151661,14.82688165
covid19,Hungary,2020,1035,34,19.39559116,47.16277506
covid19,Iceland,2020,4667,13,-18.57396167,64.99575386
covid19,India,2020,3408,56,79.61197609999999,22.88578212
covid19,Indonesia,2020,3860,292,117.24011370000001,-2.21505456
covid19,Iran (Islamic Republic of),2020,278992,16870,54.27407004,32.57503292
covid19,Iraq,2020,2806,224,43.74353149,33.03970582
covid19,Ireland,2020,6651,39,-8.13793569,53.17544870000001
covid19,Israel,2020,8840,6,35.00444693,31.46110101
covid19,Italy,2020,571928,46856,12.07001339,42.79662641
covid19,Jamaica,2020,170,6,-77.31482593,18.15694878
covid19,Japan,2020,18885,500,138.0308956,37.59230135
covid19,Jersey,2020,6,0,-2.12689938,49.21837377
covid19,Jordan,2020,755,0,36.77136104,31.24579091
covid19,Kazakhstan,2020,436,3,67.29149357,48.15688067
covid19,Kenya,2020,91,0,37.79593973,0.59988022
covid19,Kosovo,2020,14,0,20.87249811,42.57078707
covid19,Kuwait,2020,2652,0,47.58700459,29.33431262
covid19,Kyrgyzstan,2020,98,0,74.54165513,41.46221943
covid19,Lao People's Democratic Republic,2020,2,0,103.7377241,18.50217433
covid19,Latvia,2020,1106,0,24.91235983,56.85085163
covid19,Lebanon,2020,2323,49,35.88016072,33.92306631
covid19,Liberia,2020,20,0,-9.32207573,6.45278492
covid19,Libya,2020,1,0,18.00866169,27.03094495
covid19,Liechtenstein,2020,289,0,9.53574312,47.13665835
covid19,Lithuania,2020,798,5,23.88719355,55.32610984
covid19,Luxembourg,2020,4872,46,6.07182201,49.76725361
covid19,Madagascar,2020,38,0,46.70473674,-19.37189587
covid19,Malaysia,2020,12033,53,109.69762279999999,3.78986846
covid19,Maldives,2020,179,0,73.45713004,3.7287092000000004
covid19,Malta,2020,680,0,14.40523316,35.92149632
covid19,Martinique,2020,172,6,,
covid19,Mauritania,2020,17,0,-10.34779815,20.25736706
covid19,Mauritius,2020,138,7,57.57120551,-20.27768704
covid19,Mayotte,2020,21,0,,
covid19,Mexico,2020,1809,13,-102.5234517,23.94753724
covid19,Monaco,2020,139,0,7.40627677,43.75274627
covid19,Mongolia,2020,70,0,103.0529977,46.82681544
covid19,Montenegro,2020,129,2,19.23883939,42.78890259
covid19,Morocco,2020,859,32,-8.45615795,29.83762955
covid19,Mozambique,2020,5,0,35.53367543,-17.27381643
covid19,Namibia,2020,33,0,17.20963567,-22.13032568
covid19,Nepal,2020,62,0,83.91582640000001,28.24891365
covid19,Netherlands,2020,34215,1181,5.28144793,52.100789899999995
covid19,New Zealand,2020,582,0,171.4849235,-41.81113557
covid19,Nicaragua,2020,10,0,-85.0305297,12.84709429
covid19,Niger,2020,10,0,9.38545882,17.41912493
covid19,Nigeria,2020,193,2,8.08943895,9.59411452
covid19,North Ireland,2020,1,0,,
covid19,North Macedonia,2020,762,5,,
covid19,Norway,2020,23756,68,15.34834656,68.75015572
covid19,Oman,2020,693,0,56.09166155,20.60515333
covid19,Others,2020,26228,189,,
covid19,Pakistan,2020,5203,25,69.33957937,29.9497515
covid19,Palestine,2020,86,0,35.19628705,31.91613893
covid19,Panama,2020,1753,23,-80.11915156,8.51750797
covid19,Papua New Guinea,2020,5,0,145.2074475,-6.46416646
covid19,Paraguay,2020,172,5,-58.40013703,-23.22823913
covid19,Peru,2020,2469,25,-74.38242685,-9.15280381
covid19,Philippines,2020,3266,255,122.8839325,11.77536778
covid19,Poland,2020,4697,63,19.39012835,52.12759564
covid19,Portugal,2020,11129,94,-8.50104361,39.59550671
covid19,Puerto Rico,2020,3,0,-66.47307604,18.22813055
covid19,Qatar,2020,5947,0,51.18479632,25.30601188
covid19,Republic of Korea,2020,190800,1670,127.83916090000001,36.38523983
covid19,Republic of Moldova,2020,658,7,,
covid19,Reunion,2020,137,0,,
covid19,Romania,2020,3894,21,24.97293039,45.85243127
covid19,Russian Federation,2020,2769,6,,
covid19,Rwanda,2020,159,0,29.91988515,-1.99033832
covid19,Saint Barth̩lemy,2020,17,0,-62.84067779,17.89880451
covid19,Saint Lucia,2020,23,0,-60.96969923,13.89479481
covid19,Saint Martin (French part),2020,4,0,-63.05972851,18.08888611
covid19,Saint Vincent and the Grenadines,2020,11,0,-61.20129695,13.22472269
covid19,San Marino,2020,1911,160,12.45922334,43.94186747
covid19,Saudi Arabia,2020,3732,1,44.53686271,24.12245841
covid19,Senegal,2020,512,0,-14.4734924,14.36624173
covid19,Serbia,2020,1555,10,20.78958334,44.2215032
covid19,Seychelles,2020,56,0,55.47603279,-4.66099094
covid19,Singapore,2020,7627,8,103.8172559,1.35876087
covid19,Slovakia,2020,1424,4,19.47905218,48.70547528
covid19,Slovenia,2020,3915,17,14.80444238,46.11554772
covid19,Somalia,2020,9,0,45.70714487,4.75062876
covid19,South Africa,2020,2221,0,25.08390093,-29.00034095
covid19,Spain,2020,232288,12448,-3.64755047,40.24448698
covid19,Sri Lanka,2020,696,0,80.70108238,7.61266509
covid19,State of Palestine,2020,25,0,,
covid19,Sudan,2020,20,12,29.94046812,15.99035669
covid19,Suriname,2020,31,0,-55.9123457,4.13055413
covid19,Sweden,2020,19873,160,16.74558049,62.77966519
covid19,Switzerland,2020,58069,635,8.20867471,46.79785878
covid19,Syrian Arab Republic,2020,3,0,38.50788204,35.02547389
covid19,Thailand,2020,5583,27,101.0028813,15.11815794
covid19,Timor-Leste,2020,4,0,125.8443898,-8.82889162
covid19,Togo,2020,93,0,0.96232845,8.52531356
covid19,Trinidad and Tobago,2020,245,0,-61.26567923,10.45733408
covid19,Tunisia,2020,583,13,9.55288359,34.11956246
covid19,Turkey,2020,6039,129,35.16895346,39.0616029
covid19,Uganda,2020,20,0,32.36907971,1.27469299
covid19,Ukraine,2020,389,25,31.38326469,48.99656673
covid19,United Arab Emirates,2020,2411,10,54.300167099999996,23.90528188
covid19,United Kingdom,2020,44503,1859,-2.86563164,54.12387156
covid19,United Republic of Tanzania,2020,59,0,,
covid19,United States of America,2020,223838,3127,-112.46167369999999,45.6795472
covid19,Uruguay,2020,833,0,-56.01807053,-32.79951534
covid19,Uzbekistan,2020,270,0,63.14001528,41.75554225
covid19,Venezuela (Bolivarian Republic of),2020,483,0,-66.18184123,7.12422421
covid19,Viet Nam,2020,1696,0,106.29914699999999,16.646016699999997
covid19,Zambia,2020,17,0,27.77475946,-13.45824152
covid19,Zimbabwe,2020,13,2,29.8514412,-19.00420419
