Pandemic_covid19,Country,Year,Cases_covid19,Deaths_covid19,lon_covid19,lat_covid19,Pandemic_h1n1,year,Cases_h1n1,Deaths_h1n1,lon_h1n1,lat_h1n1
covid19,"China, Taiwan Province of China",2020.0,2582.0,43.0,,,,,,,,
covid19,Colombia,2020.0,1618.0,8.0,-73.08114582,3.91383431,h1n1,2009.0,1037.0,19.0,-73.08114582,3.91383431
covid19,Congo,2020.0,25.0,0.0,,,,,,,,
covid19,Costa Rica,2020.0,1006.0,10.0,-84.19208768,9.97634464,h1n1,2009.0,2444.0,24.0,-84.19208768,9.97634464
covid19,Croatia,2020.0,1872.0,6.0,16.40412899,45.08047631,h1n1,2009.0,1.0,0.0,16.40412899,45.08047631
covid19,Cuba,2020.0,202.0,7.0,-79.01605384,21.62289528,h1n1,2009.0,383.0,0.0,-79.01605384,21.62289528
covid19,Cura̤ao,2020.0,2.0,0.0,,,,,,,,
covid19,Cyprus,2020.0,764.0,5.0,33.0060022,34.91667211,h1n1,2009.0,280.0,0.0,33.0060022,34.91667211
covid19,Czechia,2020.0,8369.0,5.0,,,,,,,,
covid19,C̫te d'Ivoire,2020.0,162.0,0.0,,,,,,,,
covid19,Democratic Republic of the Congo,2020.0,183.0,5.0,23.64396107,-2.87746289,,,,,,
covid19,Denmark,2020.0,15905.0,111.0,10.02800992,55.98125296,h1n1,2009.0,422.0,0.0,10.02800992,55.98125296
covid19,Denmark,2020.0,15905.0,111.0,10.02800992,55.98125296,h1n1,2009.0,422.0,0.0,-6.88095423,62.05385403
covid19,Denmark,2020.0,15905.0,111.0,10.02800992,55.98125296,h1n1,2009.0,422.0,0.0,-41.34191127,74.71051289
covid19,Denmark,2020.0,15905.0,111.0,-6.88095423,62.05385403,h1n1,2009.0,422.0,0.0,10.02800992,55.98125296
covid19,Denmark,2020.0,15905.0,111.0,-6.88095423,62.05385403,h1n1,2009.0,422.0,0.0,-6.88095423,62.05385403
covid19,Denmark,2020.0,15905.0,111.0,-6.88095423,62.05385403,h1n1,2009.0,422.0,0.0,-41.34191127,74.71051289
covid19,Denmark,2020.0,15905.0,111.0,-41.34191127,74.71051289,h1n1,2009.0,422.0,0.0,10.02800992,55.98125296
covid19,Denmark,2020.0,15905.0,111.0,-41.34191127,74.71051289,h1n1,2009.0,422.0,0.0,-6.88095423,62.05385403
covid19,Denmark,2020.0,15905.0,111.0,-41.34191127,74.71051289,h1n1,2009.0,422.0,0.0,-41.34191127,74.71051289
covid19,Djibouti,2020.0,11.0,0.0,42.560675399999994,11.74871806,,,,,,
covid19,Dominica,2020.0,5.0,0.0,-61.357726,15.439470199999999,h1n1,2009.0,14.0,0.0,-61.357726,15.4394702
covid19,Dominican Republic,2020.0,1091.0,20.0,-70.50568896,18.89433082,h1n1,2009.0,1385.0,20.0,-70.50568896,18.89433082
covid19,Ecuador,2020.0,4349.0,84.0,-78.75201922,-1.42381612,h1n1,2009.0,1719.0,0.0,-78.75201922,-1.42381612
covid19,Egypt,2020.0,3118.0,100.0,29.86190099,26.49593311,h1n1,2009.0,488.0,0.0,29.86190099,26.49593311
covid19,El Salvador,2020.0,16.0,0.0,-88.87164469,13.73943744,h1n1,2009.0,2317.0,0.0,-88.87164469,13.73943744
covid19,Equatorial Guinea,2020.0,49.0,0.0,10.34137924,1.70555135,,,,,,
covid19,Eritrea,2020.0,4.0,0.0,38.84617011,15.36186618,,,,,,
covid19,Estonia,2020.0,3052.0,0.0,25.54248537,58.67192972,h1n1,2009.0,103.0,0.0,25.54248537,58.67192972
covid19,Eswatini,2020.0,20.0,0.0,,,,,,,,
covid19,Ethiopia,2020.0,77.0,0.0,39.60080098,8.62278679,h1n1,2009.0,14.0,0.0,39.60080098,8.62278679
covid19,Faroe Islands,2020.0,10.0,0.0,,,,,,,,
covid19,Fiji,2020.0,12.0,0.0,165.45195432,-17.42858032,h1n1,2009.0,13.0,0.0,165.45195432,-17.42858032
covid19,Finland,2020.0,5363.0,4.0,19.95328768,60.21488688,h1n1,2009.0,274.0,0.0,19.95328768,60.21488688
covid19,Finland,2020.0,5363.0,4.0,19.95328768,60.21488688,h1n1,2009.0,274.0,0.0,26.2746656,64.49884603
covid19,Finland,2020.0,5363.0,4.0,26.274665600000002,64.49884603,h1n1,2009.0,274.0,0.0,19.95328768,60.21488688
covid19,Finland,2020.0,5363.0,4.0,26.274665600000002,64.49884603,h1n1,2009.0,274.0,0.0,26.2746656,64.49884603
covid19,France,2020.0,144802.0,4825.0,69.22666758,-49.24895485,h1n1,2009.0,2417.0,0.0,69.22666758,-49.24895485
covid19,France,2020.0,144802.0,4825.0,69.22666758,-49.24895485,h1n1,2009.0,2417.0,0.0,-62.84067779,17.89880451
covid19,France,2020.0,144802.0,4825.0,69.22666758,-49.24895485,h1n1,2009.0,2417.0,0.0,-2.76172945,42.17344011
covid19,France,2020.0,144802.0,4825.0,69.22666758,-49.24895485,h1n1,2009.0,2417.0,0.0,-63.05972851,18.08888611
covid19,France,2020.0,144802.0,4825.0,69.22666758,-49.24895485,h1n1,2009.0,2417.0,0.0,165.68492374,-21.29991806
covid19,France,2020.0,144802.0,4825.0,69.22666758,-49.24895485,h1n1,2009.0,2417.0,0.0,-144.90494387,-14.72227409
covid19,France,2020.0,144802.0,4825.0,69.22666758,-49.24895485,h1n1,2009.0,2417.0,0.0,-56.30319779,46.91918789
covid19,France,2020.0,144802.0,4825.0,69.22666758,-49.24895485,h1n1,2009.0,2417.0,0.0,-177.34834825,-13.88737039
covid19,France,2020.0,144802.0,4825.0,-62.84067779,17.89880451,h1n1,2009.0,2417.0,0.0,69.22666758,-49.24895485
covid19,France,2020.0,144802.0,4825.0,-62.84067779,17.89880451,h1n1,2009.0,2417.0,0.0,-62.84067779,17.89880451
covid19,France,2020.0,144802.0,4825.0,-62.84067779,17.89880451,h1n1,2009.0,2417.0,0.0,-2.76172945,42.17344011
covid19,France,2020.0,144802.0,4825.0,-62.84067779,17.89880451,h1n1,2009.0,2417.0,0.0,-63.05972851,18.08888611
covid19,France,2020.0,144802.0,4825.0,-62.84067779,17.89880451,h1n1,2009.0,2417.0,0.0,165.68492374,-21.29991806
covid19,France,2020.0,144802.0,4825.0,-62.84067779,17.89880451,h1n1,2009.0,2417.0,0.0,-144.90494387,-14.72227409
covid19,France,2020.0,144802.0,4825.0,-62.84067779,17.89880451,h1n1,2009.0,2417.0,0.0,-56.30319779,46.91918789
covid19,France,2020.0,144802.0,4825.0,-62.84067779,17.89880451,h1n1,2009.0,2417.0,0.0,-177.34834825,-13.88737039
covid19,France,2020.0,144802.0,4825.0,-2.76172945,42.17344011,h1n1,2009.0,2417.0,0.0,69.22666758,-49.24895485
covid19,France,2020.0,144802.0,4825.0,-2.76172945,42.17344011,h1n1,2009.0,2417.0,0.0,-62.84067779,17.89880451
covid19,France,2020.0,144802.0,4825.0,-2.76172945,42.17344011,h1n1,2009.0,2417.0,0.0,-2.76172945,42.17344011
covid19,France,2020.0,144802.0,4825.0,-2.76172945,42.17344011,h1n1,2009.0,2417.0,0.0,-63.05972851,18.08888611
covid19,France,2020.0,144802.0,4825.0,-2.76172945,42.17344011,h1n1,2009.0,2417.0,0.0,165.68492374,-21.29991806
covid19,France,2020.0,144802.0,4825.0,-2.76172945,42.17344011,h1n1,2009.0,2417.0,0.0,-144.90494387,-14.72227409
covid19,France,2020.0,144802.0,4825.0,-2.76172945,42.17344011,h1n1,2009.0,2417.0,0.0,-56.30319779,46.91918789
covid19,France,2020.0,144802.0,4825.0,-2.76172945,42.17344011,h1n1,2009.0,2417.0,0.0,-177.34834825,-13.88737039
covid19,France,2020.0,144802.0,4825.0,-63.05972851,18.08888611,h1n1,2009.0,2417.0,0.0,69.22666758,-49.24895485
covid19,France,2020.0,144802.0,4825.0,-63.05972851,18.08888611,h1n1,2009.0,2417.0,0.0,-62.84067779,17.89880451
covid19,France,2020.0,144802.0,4825.0,-63.05972851,18.08888611,h1n1,2009.0,2417.0,0.0,-2.76172945,42.17344011
covid19,France,2020.0,144802.0,4825.0,-63.05972851,18.08888611,h1n1,2009.0,2417.0,0.0,-63.05972851,18.08888611
covid19,France,2020.0,144802.0,4825.0,-63.05972851,18.08888611,h1n1,2009.0,2417.0,0.0,165.68492374,-21.29991806
